id,name,neighbors
72,Sumidouro,"Teresópolis:31.48,São José do Vale do Rio Preto:28.54,Sapucaia:18.77,Nova Friburgo:28.9,Duas Barras:18.07,Carmo:25.53"
79,Tanguá,"Saquarema:23.73,Rio Bonito:15.05,Maricá:17.49,Itaboraí:13.71,Cachoeiras de Macacu:29.48"
85,Silva Jardim,"Rio Bonito:25.83,Nova Friburgo:28.97,Casimiro de Abreu:29.28,Cachoeiras de Macacu:32.92,Araruama:24.21"
56,Seropédica,"Rio de Janeiro:31.48,Queimados:12.14,Nova Iguaçu:21.6,Paracambi:15.42,Itaguaí:14.6,Japeri:14.08"
84,Três Rios,"São José do Vale do Rio Preto:19.19,Sapucaia:31.88,Paraíba do Sul:20.81,Petrópolis:30.6,Comendador Levy Gasparian:17.32,Areal:12.29"
79,Teresópolis,"Sumidouro:31.48,São José do Vale do Rio Preto:17.11,Petrópolis:30.64,Nova Friburgo:38.37,Guapimirim:31.27,Cachoeiras de Macacu:26.9"
76,Trajano de Moraes,"São Sebastião do Alto:27.84,Santa Maria Madalena:30.61,Nova Friburgo:41.41,Macaé:26.03,Macuco:16.95,Cordeiro:20.88,Conceição de Macabu:31.85,Bom Jardim:23.68"
86,São Pedro da Aldeia,"Iguaba Grande:10.39,Cabo Frio:11.07,Araruama:17.53,Arraial do Cabo:15.54"
84,São José do Vale do Rio Preto,"Sumidouro:28.54,Três Rios:19.19,Teresópolis:17.11,Sapucaia:19.71,Petrópolis:34.25,Areal:20.81"
77,São José de Ubá,"Santo Antônio de Pádua:32.52,Miracema:21.24,Itaperuna:17.13,Cambuci:14.43"
75,São João de Meriti,"Rio de Janeiro:17.64,Nilópolis:7.65,Mesquita:9.07,Duque de Caxias:18.21,Belford Roxo:6.37"
85,Saquarema,"Tanguá:23.73,Rio Bonito:17.38,Maricá:30.87,Araruama:26.91"
66,São Sebastião do Alto,"Trajano de Moraes:27.84,Santa Maria Madalena:21.73,São Fidélis:40.97,Itaocara:17.46,Macuco:23.59,Cantagalo:24.02"
72,Sapucaia,"Sumidouro:18.77,Três Rios:31.88,São José do Vale do Rio Preto:19.71,Carmo:30.08"
81,Santo Antônio de Pádua,"São José de Ubá:32.52,Miracema:18.22,Itaocara:22.17,Cantagalo:37.6,Cambuci:29.57,Aperibé:12.29"
70,São Francisco de Itabapoana,"São João da Barra:40.83,Campos dos Goytacazes:46.0"
60,Rio de Janeiro,"Seropédica:31.48,São João de Meriti:17.64,Nova Iguaçu:26.71,Nilópolis:11.54,Mesquita:13.72,Itaguaí:38.35,Duque de Caxias:35.75"
73,Rio das Ostras,"Macaé:17.83,Casimiro de Abreu:20.6"
71,Santa Maria Madalena,"Trajano de Moraes:30.61,São Sebastião do Alto:21.73,São Fidélis:36.75,Campos dos Goytacazes:58.18,Conceição de Macabu:19.75"
64,São Gonçalo,"Niterói:11.57,Maricá:20.98,Itaboraí:16.87"
70,São João da Barra,"São Francisco de Itabapoana:40.83,Campos dos Goytacazes:33.7"
77,São Fidélis,"São Sebastião do Alto:40.97,Santa Maria Madalena:36.75,Itaocara:31.47,Italva:29.57,Cardoso Moreira:33.24,Campos dos Goytacazes:40.83,Cambuci:22.39"
71,Quissamã,"Carapebus:23.6,Campos dos Goytacazes:39.85,Conceição de Macabu:41.69"
56,Queimados,"Seropédica:12.14,Nova Iguaçu:9.55,Japeri:7.35"
83,Resende,"Quatis:27.24,Porto Real:16.38,Itatiaia:10.56,Barra Mansa:31.39"
90,Quatis,"Resende:27.24,Porto Real:13.21,Barra Mansa:17.41,Valença:41.33"
83,Porto Real,"Resende:16.38,Quatis:13.21,Barra Mansa:15.88"
91,Porciúncula,"Natividade:15.49,Varre-Sai:14.64"
89,Rio Claro,"Piraí:24.37,Mangaratiba:19.66,Itaguaí:27.96,Angra dos Reis:36.24,Barra Mansa:32.44,Volta Redonda:32.08"
90,Rio das Flores,"Paraíba do Sul:24.29,Vassouras:22.23,Valença:33.89"
85,Rio Bonito,"Tanguá:15.05,Silva Jardim:25.83,Saquarema:17.38,Itaboraí:27.41,Cachoeiras de Macacu:28.22,Araruama:30.42"
88,Paraíba do Sul,"Três Rios:20.81,Rio das Flores:24.29,Petrópolis:28.34,Paty do Alferes:22.92,Comendador Levy Gasparian:16.1,Areal:19.76,Vassouras:33.61"
75,Nova Iguaçu,"Seropédica:21.6,Rio de Janeiro:26.71,Queimados:9.55,Miguel Pereira:20.23,Mesquita:13.46,Itaguaí:35.85,Japeri:11.03,Duque de Caxias:21.63,Belford Roxo:13.58"
65,Paracambi,"Seropédica:15.42,Piraí:18.6,Miguel Pereira:28.73,Mendes:10.83,Itaguaí:25.75,Japeri:12.86,Engenheiro Paulo de Frontin:14.98"
84,Petrópolis,"Três Rios:30.6,Teresópolis:30.64,São José do Vale do Rio Preto:34.25,Paraíba do Sul:28.34,Paty do Alferes:25.68,Magé:24.2,Miguel Pereira:34.33,Duque de Caxias:29.84,Guapimirim:28.56,Areal:18.36"
89,Piraí,"Rio Claro:24.37,Paracambi:18.6,Pinheiral:14.03,Mendes:20.77,Itaguaí:24.08,Barra do Piraí:23.05,Barra Mansa:32.69,Volta Redonda:24.9"
89,Pinheiral,"Piraí:14.03,Barra do Piraí:15.66,Volta Redonda:11.05"
80,Paraty,Angra dos Reis:40.38
88,Paty do Alferes,"Paraíba do Sul:22.92,Petrópolis:25.68,Miguel Pereira:16.84,Vassouras:17.09"
48,Nilópolis,"São João de Meriti:7.65,Rio de Janeiro:11.54,Mesquita:3.4"
58,Miracema,"São José de Ubá:21.24,Santo Antônio de Pádua:18.22,Itaperuna:32.79,Laje do Muriaé:16.22"
91,Natividade,"Porciúncula:15.49,Itaperuna:20.7,Bom Jesus do Itabapoana:27.34,Varre-Sai:19.58"
79,Nova Friburgo,"Sumidouro:28.9,Silva Jardim:28.97,Teresópolis:38.37,Trajano de Moraes:41.41,Macaé:54.13,Duas Barras:29.2,Casimiro de Abreu:40.94,Bom Jardim:18.78,Cachoeiras de Macacu:32.0"
45,Niterói,"São Gonçalo:11.57,Maricá:24.46"
80,Mangaratiba,"Rio Claro:19.66,Itaguaí:26.67,Angra dos Reis:32.47"
64,Maricá,"Tanguá:17.49,Saquarema:30.87,São Gonçalo:20.98,Niterói:24.46,Itaboraí:18.71"
63,Magé,"Petrópolis:24.2,Duque de Caxias:19.31,Guapimirim:15.66"
88,Miguel Pereira,"Nova Iguaçu:20.23,Paracambi:28.73,Petrópolis:34.33,Paty do Alferes:16.84,Japeri:22.21,Duque de Caxias:22.33,Engenheiro Paulo de Frontin:17.17,Vassouras:19.37"
75,Mesquita,"São João de Meriti:9.07,Rio de Janeiro:13.72,Nova Iguaçu:13.46,Nilópolis:3.4,Belford Roxo:10.95"
88,Mendes,"Paracambi:10.83,Piraí:20.77,Engenheiro Paulo de Frontin:10.76,Barra do Piraí:20.74,Vassouras:25.14"
81,Itaocara,"São Sebastião do Alto:17.46,Santo Antônio de Pádua:22.17,São Fidélis:31.47,Cantagalo:30.39,Cambuci:30.84,Aperibé:9.89"
77,Itaperuna,"São José de Ubá:17.13,Miracema:32.79,Natividade:20.7,Italva:33.28,Laje do Muriaé:25.19,Campos dos Goytacazes:77.04,Bom Jesus do Itabapoana:24.64,Cambuci:30.19"
44,Itaguaí,"Seropédica:14.6,Rio de Janeiro:38.35,Rio Claro:27.96,Nova Iguaçu:35.85,Paracambi:25.75,Piraí:24.08,Mangaratiba:26.67"
77,Italva,"São Fidélis:29.57,Itaperuna:33.28,Cardoso Moreira:19.51,Campos dos Goytacazes:44.24,Bom Jesus do Itabapoana:33.44,Cambuci:28.24"
73,Macaé,"Trajano de Moraes:26.03,Rio das Ostras:17.83,Nova Friburgo:54.13,Carapebus:35.38,Conceição de Macabu:22.17,Casimiro de Abreu:26.9"
66,Macuco,"Trajano de Moraes:16.95,São Sebastião do Alto:23.59,Cordeiro:8.08,Cantagalo:18.34"
47,Japeri,"Seropédica:14.08,Queimados:7.35,Nova Iguaçu:11.03,Paracambi:12.86,Miguel Pereira:22.21"
24,Itatiaia,Resende:10.56
51,Laje do Muriaé,"Miracema:16.22,Itaperuna:25.19"
76,Duas Barras,"Sumidouro:18.07,Nova Friburgo:29.2,Cordeiro:16.09,Cantagalo:26.8,Carmo:19.1,Bom Jardim:20.62"
75,Duque de Caxias,"São João de Meriti:18.21,Rio de Janeiro:35.75,Nova Iguaçu:21.63,Petrópolis:29.84,Magé:19.31,Miguel Pereira:22.33,Belford Roxo:13.33"
76,Cordeiro,"Trajano de Moraes:20.88,Macuco:8.08,Duas Barras:16.09,Cantagalo:21.12,Bom Jardim:15.91"
86,Iguaba Grande,"São Pedro da Aldeia:10.39,Araruama:11.09,Arraial do Cabo:12.34"
79,Guapimirim,"Teresópolis:31.27,Petrópolis:28.56,Magé:15.66,Itaboraí:21.62,Cachoeiras de Macacu:25.36"
79,Itaboraí,"Tanguá:13.71,São Gonçalo:16.87,Rio Bonito:27.41,Maricá:18.71,Guapimirim:21.62,Cachoeiras de Macacu:28.97"
88,Engenheiro Paulo de Frontin,"Paracambi:14.98,Miguel Pereira:17.17,Mendes:10.76,Vassouras:17.93"
72,Cantagalo,"São Sebastião do Alto:24.02,Santo Antônio de Pádua:37.6,Itaocara:30.39,Macuco:18.34,Duas Barras:26.8,Cordeiro:21.12,Carmo:24.23"
70,Cardoso Moreira,"São Fidélis:33.24,Italva:19.51,Campos dos Goytacazes:26.55"
31,Comendador Levy Gasparian,"Três Rios:17.32,Paraíba do Sul:16.1"
71,Carapebus,"Quissamã:23.6,Macaé:35.38,Conceição de Macabu:21.24"
74,Campos dos Goytacazes,"São Francisco de Itabapoana:46.0,Santa Maria Madalena:58.18,São João da Barra:33.7,São Fidélis:40.83,Quissamã:39.85,Itaperuna:77.04,Italva:44.24,Cardoso Moreira:26.55,Conceição de Macabu:62.89,Bom Jesus do Itabapoana:75.0"
70,Conceição de Macabu,"Trajano de Moraes:31.85,Santa Maria Madalena:19.75,Quissamã:41.69,Macaé:22.17,Carapebus:21.24,Campos dos Goytacazes:62.89"
66,Carmo,"Sumidouro:25.53,Sapucaia:30.08,Duas Barras:19.1,Cantagalo:24.23"
85,Casimiro de Abreu,"Silva Jardim:29.28,Rio das Ostras:20.6,Nova Friburgo:40.94,Macaé:26.9,Cabo Frio:27.01,Araruama:33.93"
91,Bom Jesus do Itabapoana,"Natividade:27.34,Itaperuna:24.64,Italva:33.44,Campos dos Goytacazes:75.0,Varre-Sai:29.75"
60,Belford Roxo,"São João de Meriti:6.37,Nova Iguaçu:13.58,Mesquita:10.95,Duque de Caxias:13.33"
61,Bom Jardim,"Trajano de Moraes:23.68,Nova Friburgo:18.78,Duas Barras:20.62,Cordeiro:15.91"
81,Cambuci,"São José de Ubá:14.43,Santo Antônio de Pádua:29.57,São Fidélis:22.39,Itaocara:30.84,Itaperuna:30.19,Italva:28.24,Aperibé:28.58"
87,Cabo Frio,"São Pedro da Aldeia:11.07,Casimiro de Abreu:27.01,Araruama:24.72,Arraial do Cabo:25.9,Armação dos Búzios:13.16"
64,Cachoeiras de Macacu,"Tanguá:29.48,Silva Jardim:32.92,Teresópolis:26.9,Rio Bonito:28.22,Nova Friburgo:32.0,Guapimirim:25.36,Itaboraí:28.97"
44,Angra dos Reis,"Rio Claro:36.24,Paraty:40.38,Mangaratiba:32.47"
77,Aperibé,"Santo Antônio de Pádua:12.29,Itaocara:9.89,Cambuci:28.58"
90,Barra do Piraí,"Piraí:23.05,Pinheiral:15.66,Mendes:20.74,Barra Mansa:29.68,Vassouras:36.12,Volta Redonda:19.49,Valença:21.95"
90,Barra Mansa,"Resende:31.39,Quatis:17.41,Porto Real:15.88,Rio Claro:32.44,Piraí:32.69,Barra do Piraí:29.68,Volta Redonda:10.35,Valença:45.42"
34,Areal,"Três Rios:12.29,São José do Vale do Rio Preto:20.81,Paraíba do Sul:19.76,Petrópolis:18.36"
86,Araruama,"Silva Jardim:24.21,São Pedro da Aldeia:17.53,Saquarema:26.91,Rio Bonito:30.42,Iguaba Grande:11.09,Casimiro de Abreu:33.93,Cabo Frio:24.72,Arraial do Cabo:23.23"
85,Arraial do Cabo,"São Pedro da Aldeia:15.54,Iguaba Grande:12.34,Cabo Frio:25.9,Araruama:23.23"
78,Armação dos Búzios,Cabo Frio:13.16
90,Vassouras,"Rio das Flores:22.23,Paraíba do Sul:33.61,Paty do Alferes:17.09,Miguel Pereira:19.37,Mendes:25.14,Engenheiro Paulo de Frontin:17.93,Barra do Piraí:36.12,Valença:32.69"
83,Volta Redonda,"Rio Claro:32.08,Piraí:24.9,Pinheiral:11.05,Barra do Piraí:19.49,Barra Mansa:10.35"
88,Valença,"Quatis:41.33,Rio das Flores:33.89,Barra do Piraí:21.95,Barra Mansa:45.42,Vassouras:32.69"
74,Varre-Sai,"Porciúncula:14.64,Natividade:19.58,Bom Jesus do Itabapoana:29.75"
